author,text,is_fake,rating,position
Марія Іванчук,"Анонімні джерела повідомляють, що політична реформа знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.399,користувач соцмереж
RealTruth,"Користувачі мережі стверджують, що уряд приховує дані про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.132,активіст
Марія Іванчук,Офіційні джерела підтвердили позитивні зміни у сфері енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.82,редактор
Олена Ковальчук,"Експерти заявили, що сучасна медицина розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.712,репортер
HiddenSource,"Користувачі мережі стверджують, що уряд приховує дані про економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.197,інтернет-коментатор
Patriot_True,"Відео у TikTok показує, що енергетична безпека призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.271,користувач соцмереж
Андрій Сидоренко,"Користувачі мережі стверджують, що уряд приховує дані про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.273,активіст
Patriot_True,"Користувачі мережі стверджують, що уряд приховує дані про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.552,блогер
Марія Іванчук,"Експерти заявили, що політична реформа розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.873,журналіст
User123,У соцмережах поширюється чутка про політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.397,користувач соцмереж
Олена Ковальчук,"Експерти заявили, що нові освітні програми розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.472,репортер
Андрій Сидоренко,Журналісти повідомили про нові досягнення у сфері енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.698,редактор
CV19_OpenEyes,"Анонімні джерела повідомляють, що економіка України знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.262,активіст
Андрій Сидоренко,"Відео у TikTok показує, що економіка України призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.682,активіст
User123,"Відео у TikTok показує, що нові освітні програми призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.68,блогер
Юрій Бойко,"Відео у TikTok показує, що енергетична безпека призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.134,активіст
Марія Іванчук,Офіційні джерела підтвердили позитивні зміни у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.679,репортер
Юрій Бойко,Офіційні джерела підтвердили позитивні зміни у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.831,аналітик новин
Юрій Бойко,"Користувачі мережі стверджують, що уряд приховує дані про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.427,інтернет-коментатор
Олена Ковальчук,"Користувачі мережі стверджують, що уряд приховує дані про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.558,інтернет-коментатор
Наталія Гнатюк,"Відео у TikTok показує, що нові освітні програми призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.473,користувач соцмереж
Андрій Сидоренко,Офіційні джерела підтвердили позитивні зміни у сфері економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.441,аналітик новин
Олена Ковальчук,"Експерти заявили, що енергетична безпека розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.579,редактор
Марія Іванчук,Міністерство оприлюднило звіт про стан енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.626,редактор
Андрій Сидоренко,"Експерти заявили, що нові освітні програми розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.428,аналітик новин
Андрій Сидоренко,"Відео у TikTok показує, що економіка України призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.589,інтернет-коментатор
Марія Іванчук,Міністерство оприлюднило звіт про стан розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.688,аналітик новин
Марія Іванчук,"Експерти заявили, що сучасна медицина розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.524,аналітик новин
Іван Петренко,Журналісти повідомили про нові досягнення у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.8,репортер
HiddenSource,"Анонімні джерела повідомляють, що економіка України знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.399,користувач соцмереж
Іван Петренко,"Експерти заявили, що політична реформа розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.954,редактор
Марія Іванчук,"Анонімні джерела повідомляють, що нові освітні програми знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.419,активіст
Наталія Гнатюк,"Анонімні джерела повідомляють, що розвиток штучного інтелекту знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.62,активіст
Patriot_True,У соцмережах поширюється чутка про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.475,інтернет-коментатор
Anonymous,У соцмережах поширюється чутка про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.498,користувач соцмереж
Anonymous,"Відео у TikTok показує, що сучасна медицина призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.276,користувач соцмереж
Юрій Бойко,"Користувачі мережі стверджують, що уряд приховує дані про енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.22,блогер
Андрій Сидоренко,Журналісти повідомили про нові досягнення у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.546,редактор
Anonymous,"Користувачі мережі стверджують, що уряд приховує дані про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.197,активіст
Марія Іванчук,Офіційні джерела підтвердили позитивні зміни у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.983,журналіст
Наталія Гнатюк,Офіційні джерела підтвердили позитивні зміни у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.972,аналітик новин
Марія Іванчук,У соцмережах поширюється чутка про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.242,активіст
Олена Ковальчук,"Анонімні джерела повідомляють, що сучасна медицина знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.125,інтернет-коментатор
Андрій Сидоренко,"Користувачі мережі стверджують, що уряд приховує дані про політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.634,блогер
Андрій Сидоренко,"Експерти заявили, що економіка України розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.813,аналітик новин
Юрій Бойко,"Експерти заявили, що економіка України розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.731,аналітик новин
HiddenSource,"Користувачі мережі стверджують, що уряд приховує дані про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.182,інтернет-коментатор
Олена Ковальчук,"Анонімні джерела повідомляють, що нові освітні програми знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.599,інтернет-коментатор
Іван Петренко,"Експерти заявили, що енергетична безпека розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.928,репортер
Наталія Гнатюк,У соцмережах поширюється чутка про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.51,активіст
Андрій Сидоренко,"Експерти заявили, що розвиток штучного інтелекту розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.829,журналіст
Марія Іванчук,"Відео у TikTok показує, що розвиток штучного інтелекту призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.462,інтернет-коментатор
Anonymous,"Відео у TikTok показує, що сучасна медицина призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.641,активіст
Олена Ковальчук,Офіційні джерела підтвердили позитивні зміни у сфері політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.72,аналітик новин
Юрій Бойко,"Користувачі мережі стверджують, що уряд приховує дані про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.491,користувач соцмереж
Іван Петренко,У соцмережах поширюється чутка про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.607,користувач соцмереж
User123,"Анонімні джерела повідомляють, що енергетична безпека знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.531,активіст
Олена Ковальчук,Міністерство оприлюднило звіт про стан нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.444,редактор
Юрій Бойко,Міністерство оприлюднило звіт про стан сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.937,редактор
Андрій Сидоренко,Офіційні джерела підтвердили позитивні зміни у сфері політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.741,репортер
CV19_OpenEyes,"Відео у TikTok показує, що сучасна медицина призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.494,блогер
Наталія Гнатюк,Міністерство оприлюднило звіт про стан економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.618,аналітик новин
Марія Іванчук,У соцмережах поширюється чутка про економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.165,користувач соцмереж
HiddenSource,"Користувачі мережі стверджують, що уряд приховує дані про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.549,активіст
Юрій Бойко,У соцмережах поширюється чутка про економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.161,активіст
RealTruth,"Відео у TikTok показує, що нові освітні програми призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.301,користувач соцмереж
Андрій Сидоренко,Журналісти повідомили про нові досягнення у сфері нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.691,журналіст
Юрій Бойко,Офіційні джерела підтвердили позитивні зміни у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.936,редактор
HiddenSource,У соцмережах поширюється чутка про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.307,інтернет-коментатор
Олена Ковальчук,"Відео у TikTok показує, що політична реформа призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.13,користувач соцмереж
Наталія Гнатюк,Офіційні джерела підтвердили позитивні зміни у сфері політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.786,аналітик новин
Андрій Сидоренко,Офіційні джерела підтвердили позитивні зміни у сфері економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.704,журналіст
HiddenSource,"Відео у TikTok показує, що енергетична безпека призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.309,активіст
Іван Петренко,"Користувачі мережі стверджують, що уряд приховує дані про політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.215,блогер
Олена Ковальчук,"Експерти заявили, що енергетична безпека розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.64,редактор
Олена Ковальчук,Міністерство оприлюднило звіт про стан розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.597,редактор
Андрій Сидоренко,"Експерти заявили, що політична реформа розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.715,аналітик новин
Наталія Гнатюк,Офіційні джерела підтвердили позитивні зміни у сфері економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.949,аналітик новин
HiddenSource,"Анонімні джерела повідомляють, що економіка України знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.575,активіст
Андрій Сидоренко,"Експерти заявили, що політична реформа розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.41,репортер
Андрій Сидоренко,"Анонімні джерела повідомляють, що розвиток штучного інтелекту знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.44,інтернет-коментатор
Юрій Бойко,Журналісти повідомили про нові досягнення у сфері нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.84,репортер
Іван Петренко,"Користувачі мережі стверджують, що уряд приховує дані про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.652,користувач соцмереж
Андрій Сидоренко,Офіційні джерела підтвердили позитивні зміни у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.78,репортер
Олена Ковальчук,Міністерство оприлюднило звіт про стан політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.907,репортер
Андрій Сидоренко,У соцмережах поширюється чутка про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.656,активіст
Іван Петренко,У соцмережах поширюється чутка про енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.514,блогер
Іван Петренко,"Відео у TikTok показує, що енергетична безпека призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.191,інтернет-коментатор
Наталія Гнатюк,Журналісти повідомили про нові досягнення у сфері нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.537,журналіст
User123,"Відео у TikTok показує, що економіка України призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.436,блогер
Іван Петренко,Офіційні джерела підтвердили позитивні зміни у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.7,аналітик новин
HiddenSource,"Анонімні джерела повідомляють, що енергетична безпека знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.381,блогер
CV19_OpenEyes,"Користувачі мережі стверджують, що уряд приховує дані про політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.621,інтернет-коментатор
Наталія Гнатюк,"Анонімні джерела повідомляють, що економіка України знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.622,користувач соцмереж
Наталія Гнатюк,Офіційні джерела підтвердили позитивні зміни у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.48,журналіст
Андрій Сидоренко,Журналісти повідомили про нові досягнення у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.724,журналіст
Іван Петренко,"Експерти заявили, що економіка України розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.755,аналітик новин
Іван Петренко,"Експерти заявили, що нові освітні програми розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.627,репортер
Марія Іванчук,Журналісти повідомили про нові досягнення у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.681,редактор
Patriot_True,"Користувачі мережі стверджують, що уряд приховує дані про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.106,блогер
Іван Петренко,"Експерти заявили, що політична реформа розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.72,журналіст
RealTruth,У соцмережах поширюється чутка про політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.213,інтернет-коментатор
Андрій Сидоренко,Міністерство оприлюднило звіт про стан розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.828,редактор
Anonymous,"Користувачі мережі стверджують, що уряд приховує дані про економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.379,користувач соцмереж
Олена Ковальчук,"Анонімні джерела повідомляють, що енергетична безпека знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.351,активіст
CV19_OpenEyes,"Відео у TikTok показує, що сучасна медицина призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.647,користувач соцмереж
Олена Ковальчук,Офіційні джерела підтвердили позитивні зміни у сфері нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.814,репортер
Anonymous,"Користувачі мережі стверджують, що уряд приховує дані про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.685,інтернет-коментатор
HiddenSource,"Анонімні джерела повідомляють, що політична реформа знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.276,інтернет-коментатор
Андрій Сидоренко,У соцмережах поширюється чутка про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.144,активіст
Андрій Сидоренко,Міністерство оприлюднило звіт про стан розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.457,журналіст
Іван Петренко,Журналісти повідомили про нові досягнення у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.457,репортер
CV19_OpenEyes,"Користувачі мережі стверджують, що уряд приховує дані про нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.143,блогер
Олена Ковальчук,"Відео у TikTok показує, що енергетична безпека призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.659,користувач соцмереж
Андрій Сидоренко,Журналісти повідомили про нові досягнення у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.531,редактор
Марія Іванчук,"Відео у TikTok показує, що сучасна медицина призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.446,інтернет-коментатор
Марія Іванчук,"Експерти заявили, що розвиток штучного інтелекту розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.745,журналіст
Іван Петренко,Міністерство оприлюднило звіт про стан нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.624,репортер
Наталія Гнатюк,Журналісти повідомили про нові досягнення у сфері економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.683,репортер
Anonymous,У соцмережах поширюється чутка про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.473,інтернет-коментатор
Олена Ковальчук,"Експерти заявили, що розвиток штучного інтелекту розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.668,аналітик новин
Юрій Бойко,Журналісти повідомили про нові досягнення у сфері сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.521,аналітик новин
Юрій Бойко,Міністерство оприлюднило звіт про стан політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.626,редактор
Юрій Бойко,"Експерти заявили, що економіка України розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.858,редактор
Patriot_True,"Відео у TikTok показує, що енергетична безпека призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.354,інтернет-коментатор
Андрій Сидоренко,Міністерство оприлюднило звіт про стан сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.837,редактор
HiddenSource,"Користувачі мережі стверджують, що уряд приховує дані про політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.451,активіст
Олена Ковальчук,Журналісти повідомили про нові досягнення у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.732,репортер
